时间, CPU使用率, 内存使用率
2026-02-27 13:39:56, 2.27%, 93.15%
2026-02-27 13:39:57, 3.78%, 93.15%
2026-02-27 13:39:58, 3.02%, 93.15%
2026-02-27 13:39:59, 3.02%, 93.16%
2026-02-27 13:40:00, 3.54%, 93.16%
2026-02-27 13:40:01, 2.78%, 93.16%
2026-02-27 13:40:02, 2.78%, 93.14%
2026-02-27 13:40:03, 3.29%, 93.14%
2026-02-27 13:40:04, 3.27%, 93.14%
2026-02-27 13:40:05, 3.01%, 93.14%
2026-02-27 13:40:06, 3.02%, 93.15%
2026-02-27 13:40:07, 3.53%, 93.16%
2026-02-27 13:40:08, 2.77%, 93.16%
2026-02-27 13:40:09, 3.02%, 93.16%
2026-02-27 13:40:10, 3.78%, 93.15%
2026-02-27 13:40:11, 2.02%, 93.15%
2026-02-27 13:40:12, 2.74%, 93.15%
2026-02-27 13:40:13, 2.78%, 93.15%
2026-02-27 13:40:14, 2.27%, 93.16%
2026-02-27 13:40:15, 2.77%, 93.15%
2026-02-27 13:40:16, 3.03%, 93.15%
2026-02-27 13:40:17, 2.26%, 93.15%
2026-02-27 13:40:18, 2.78%, 93.15%
2026-02-27 13:40:19, 3.27%, 93.15%
2026-02-27 13:40:20, 2.51%, 93.15%
2026-02-27 13:40:21, 2.53%, 93.15%
2026-02-27 13:40:22, 3.51%, 93.15%
2026-02-27 13:40:23, 2.77%, 93.16%
2026-02-27 13:40:24, 2.78%, 93.16%
2026-02-27 13:40:25, 3.28%, 93.17%
2026-02-27 13:40:26, 2.51%, 93.18%
2026-02-27 13:40:27, 3.27%, 93.16%
2026-02-27 13:40:28, 3.02%, 93.16%
2026-02-27 13:40:29, 2.76%, 93.16%
2026-02-27 13:40:30, 2.77%, 93.16%
2026-02-27 13:40:31, 3.51%, 93.17%
2026-02-27 13:40:32, 2.51%, 93.17%
2026-02-27 13:40:33, 2.27%, 93.17%
2026-02-27 13:40:34, 3.26%, 93.17%
2026-02-27 13:40:35, 2.78%, 93.18%
2026-02-27 13:40:36, 3.01%, 93.18%
2026-02-27 13:40:37, 3.27%, 93.18%
2026-02-27 13:40:38, 2.52%, 93.18%
2026-02-27 13:40:39, 3.26%, 93.18%
2026-02-27 13:40:40, 3.79%, 93.09%
2026-02-27 13:40:41, 2.27%, 93.07%
2026-02-27 13:40:42, 2.51%, 93.08%
2026-02-27 13:40:43, 3.02%, 93.09%
